realtime_start,realtime_end,value,date
2002-01-01,2018-10-11,211973,2018-10-11
2002-02-01,2018-10-11,214277,2018-10-11
2002-03-01,2018-10-11,201253,2018-10-11
2002-04-01,2018-10-11,203435,2018-10-11
2002-05-01,2018-10-11,210154,2018-10-11
2002-06-01,2018-10-11,204433,2018-10-11
2002-07-01,2018-10-11,207608,2018-10-11
2002-08-01,2018-10-11,207256,2018-10-11
2002-09-01,2018-10-11,207471,2018-10-11
2002-10-01,2018-10-11,209130,2018-10-11
2002-11-01,2018-10-11,209198,2018-10-11
2002-12-01,2018-10-11,216656,2018-10-11
2003-01-01,2018-10-11,213997,2018-10-11
2003-02-01,2018-10-11,210873,2018-10-11
2003-03-01,2018-10-11,203317,2018-10-11
2003-04-01,2018-10-11,206904,2018-10-11
2003-05-01,2018-10-11,207997,2018-10-11
2003-06-01,2018-10-11,213185,2018-10-11
2003-07-01,2018-10-11,212517,2018-10-11
2003-08-01,2018-10-11,214568,2018-10-11
2003-09-01,2018-10-11,213928,2018-10-11
2003-10-01,2018-10-11,217356,2018-10-11
2003-11-01,2018-10-11,209417,2018-10-11
2003-12-01,2018-10-11,207664,2018-10-11
2004-01-01,2018-10-11,207518,2018-10-11
2004-02-01,2018-10-11,205679,2018-10-11
2004-03-01,2018-10-11,216272,2018-10-11
2004-04-01,2018-10-11,216253,2018-10-11
2004-05-01,2018-10-11,213244,2018-10-11
2004-06-01,2018-10-11,217209,2018-10-11
2004-07-01,2018-10-11,218266,2018-10-11
2004-08-01,2018-10-11,214856,2018-10-11
2004-09-01,2018-10-11,212838,2018-10-11
2004-10-01,2018-10-11,212712,2018-10-11
2004-11-01,2018-10-11,220021,2018-10-11
2004-12-01,2018-10-11,218884,2018-10-11
2005-01-01,2018-10-11,214756,2018-10-11
2005-02-01,2018-10-11,221049,2018-10-11
2005-03-01,2018-10-11,222582,2018-10-11
2005-04-01,2018-10-11,222876,2018-10-11
2005-05-01,2018-10-11,228732,2018-10-11
2005-06-01,2018-10-11,231145,2018-10-11
2005-07-01,2018-10-11,230628,2018-10-11
2005-08-01,2018-10-11,232061,2018-10-11
2005-09-01,2018-10-11,232504,2018-10-11
2005-10-01,2018-10-11,230970,2018-10-11
2005-11-01,2018-10-11,231960,2018-10-11
2005-12-01,2018-10-11,236145,2018-10-11
2006-01-01,2018-10-11,237035,2018-10-11
2006-02-01,2018-10-11,240874,2018-10-11
2006-03-01,2018-10-11,245347,2018-10-11
2006-04-01,2018-10-11,248746,2018-10-11
2006-05-01,2018-10-11,247605,2018-10-11
2006-06-01,2018-10-11,251575,2018-10-11
2006-07-01,2018-10-11,252504,2018-10-11
2006-08-01,2018-10-11,249155,2018-10-11
2006-09-01,2018-10-11,248906,2018-10-11
2006-10-01,2018-10-11,250595,2018-10-11
2006-11-01,2018-10-11,254286,2018-10-11
2006-12-01,2018-10-11,263503,2018-10-11
2007-01-01,2018-10-11,273573,2018-10-11
2007-02-01,2018-10-11,268434,2018-10-11
2007-03-01,2018-10-11,271615,2018-10-11
2007-04-01,2018-10-11,274663,2018-10-11
2007-05-01,2018-10-11,282034,2018-10-11
2007-06-01,2018-10-11,280492,2018-10-11
2007-07-01,2018-10-11,281330,2018-10-11
2007-08-01,2018-10-11,285589,2018-10-11
2007-09-01,2018-10-11,290053,2018-10-11
2007-10-01,2018-10-11,288717,2018-10-11
2007-11-01,2018-10-11,291628,2018-10-11
2007-12-01,2018-10-11,289482,2018-10-11
